,ID,RA,Dec,simbad_name,Morphology,Morphology_Detailed
367,A05_104T08_9000002910, 12:36:32.710, 11:15:28.800,NGC  4567,GinPair,Galaxy in Pair of Galaxies
368,A05_104T08_9000002954, 12:36:32.710, 11:15:28.800,NGC  4567,GinPair,Galaxy in Pair of Galaxies
369,A05_107T01_9000002852, 16:53:52.217, +39:45:36.61,4C 39.49,BLLac,BL Lac - type object
370,A05_108T01_9000002438, 23:57:00.74, -34:40:49.94,ESO 349-9,GinCl,Galaxy in Cluster of Galaxies
371,A05_108T01_9000003146, 23:57:00.74, -34:40:49.94,ESO 349-9,GinCl,Galaxy in Cluster of Galaxies
372,A05_108T02_9000002676, 12:57:04.32, -30:22:30.19,2MASX J12570425-3022305,Seyfert_2,Seyfert 2 Galaxy
373,A05_109T01_9000002662, 11:16:54.6, +18:03:06,[VV2006] J111654.8+180304,QSO,Quasar
374,A05_115T01_9000002848, 12:57:59.71, 27:59:45.5,,No identification within 1 arcsec,
375,A05_115T01_9000003030, 12:57:59.71, 27:59:45.5,,No identification within 1 arcsec,
376,A05_115T02_9000002906, 12:57:08.62, 28:21:44.7,,No identification within 1 arcsec,
377,A05_115T03_9000002806, 13:00:09.64, 27:12:49.5,,No identification within 1 arcsec,
378,A05_115T03_9000003032, 13:00:09.64, 27:12:49.5,,No identification within 1 arcsec,
379,A05_117T01_9000002958, 21:58:52.06511, -30:13:32.1182,NAME PKS 2155-304 Group,GroupG,Group of Galaxies
380,A05_117T01_9000002998, 21:58:52.06511, -30:13:32.1182,NAME PKS 2155-304 Group,GroupG,Group of Galaxies
381,A05_117T01_9000003166, 21:58:52.06511, -30:13:32.1182,NAME PKS 2155-304 Group,GroupG,Group of Galaxies
382,A05_118T02_9000002612, 10:43:31.1, +24:55:20,[TSK2008] 278,GroupG,Group of Galaxies
383,A05_118T04_9000002782, 12:15:39.2, +36:19:37,NGC  4228,StarburstG,Starburst Galaxy
384,A05_144T02_9000002734, 6:42:55.140, 55:28:27.240,V* SU Lyn,LPV*,Long-period variable star
385,A05_144T02_9000003176, 6:42:55.140, 55:28:27.240,V* SU Lyn,LPV*,Long-period variable star
386,A05_149T03_9000002590, 11:14:52.80, +55:02:00.0,,No identification within 1 arcsec,
387,A05_149T04_9000002410, 21:07:01.80, +42:14:10.0,,No identification within 1 arcsec,
388,A05_155T02_9000003200, 5:47:1.889, -34:15:2.196,NGC  2090,GinGroup,Galaxy in Group of Galaxies
389,A05_155T04_9000002956, 14:40:26.119, 33:59:20.796,NGC  5727,EmG,Emission-line galaxy
390,A05_155T04_9000003114, 14:40:26.119, 33:59:20.796,NGC  5727,EmG,Emission-line galaxy
391,A05_156T01_9000002804, 14:10:32.14, +39:49:11.56,,No identification within 1 arcsec,
392,A05_160T01_9000002970, 22:32:33.4, +11:43:13.0,,No identification within 1 arcsec,
393,A05_160T01_9000003078, 22:32:33.4, +11:43:13.0,,No identification within 1 arcsec,
394,A05_160T02_9000002710, 12:24:54.3, +21:22:56.2,,No identification within 1 arcsec,
395,A05_160T02_9000003022, 12:24:54.3, +21:22:56.2,,No identification within 1 arcsec,
396,A05_163T01_9000002820, 17:43:57.8326, +19:35:09.017,QSO B1741+196,BLLac,BL Lac - type object
397,A05_163T01_9000003010, 17:43:57.8326, +19:35:09.017,QSO B1741+196,BLLac,BL Lac - type object
398,A05_163T01_9000003118, 17:43:57.8326, +19:35:09.017,QSO B1741+196,BLLac,BL Lac - type object
399,A05_165T07_9000002796, 13:35:53.800, -34:17:43.780,ESO 383-35,Seyfert_1,Seyfert 1 Galaxy
400,A05_165T07_9000003062, 13:35:53.800, -34:17:43.780,ESO 383-35,Seyfert_1,Seyfert 1 Galaxy
401,A05_165T12_9000002562, 7:59:41.820, -38:43:55.999,2MASS J07594181-3843560,Seyfert_1,Seyfert 1 Galaxy
402,A05_167T01_9000002758, 15:49:17.2, 21:49:42,,No identification within 1 arcsec,
403,A05_169T01_9000002558, 06:16:22.09, -21:22:21.80,NGC  2207,IG,Interacting Galaxies
404,A05_174T01_9000002440, 23:59:7.910, -30:37:40.690,QSO B2356-309,BLLac,BL Lac - type object
405,A05_174T01_9000003008, 23:59:7.910, -30:37:40.690,QSO B2356-309,BLLac,BL Lac - type object
406,A05_175T01_9000002894, 14:42:07.40, +35:26:23.00,Mrk  478,Seyfert_1,Seyfert 1 Galaxy
407,A05_175T01_9000003004, 14:42:07.40, +35:26:23.00,Mrk  478,Seyfert_1,Seyfert 1 Galaxy
408,A05_176T03_9000002778, 12:57:12.2076, 28:29:32.517,,No identification within 1 arcsec,
409,A05_176T03_9000003028, 12:57:12.2076, 28:29:32.517,,No identification within 1 arcsec,
410,A05_176T04_9000002942, 14:4:43.226, 54:53:33.468,NGC  5473,GinGroup,Galaxy in Group of Galaxies
411,A05_176T04_9000003034, 14:4:43.226, 54:53:33.468,NGC  5473,GinGroup,Galaxy in Group of Galaxies
412,A05_176T05_9000002706, 14:18:20.222, 7:35:33.104,,No identification within 1 arcsec,
413,A05_182T02_9000002392, 01:44:02.95, +61:53:20.3,EM* GGA   83,Be*,Be Star
414,A05_182T02_9000003202, 01:44:02.95, +61:53:20.3,EM* GGA   83,Be*,Be Star
415,A05_182T03_9000002516, 22:20:07.00, +58:07:41.0,NGC  7261,OpCl,Open (galactic) Cluster
416,A05_182T03_9000002576, 22:20:07.00, +58:07:41.0,NGC  7261,OpCl,Open (galactic) Cluster
417,A05_185T04_9000002548, 1:23:8.648, 34:20:48.560,4FGL J0123.1+3421,BLLac,BL Lac - type object
418,A05_186T01_9000002692, 07:06:14.04, +30:14:00.40,,No identification within 1 arcsec,
419,A05_186T02_9000002624, 09:56:46.06, +28:49:43.68,UGC  5340,Galaxy,Galaxy
420,A05_187T03_9000002748, 8:32:30.530, 15:49:26.192,V* FR Cnc,BYDra,Variable of BY Dra type
421,A05_194T05_9000002592, 12:48:15.23, +17:46:26.44,LEDA   43234,Galaxy,Galaxy
422,A05_194T05_9000002702, 12:48:15.23, +17:46:26.44,LEDA   43234,Galaxy,Galaxy
423,A05_194T13_9000002814, 10:09:33.14, +23:22:55.8,SDSS J100933.13+232255.7,LINER,LINER-type Active Galaxy Nucleus
424,A05_196T01_9000002584, 09:16:01.49, -36:37:37.4,NGC  2818,PN,Planetary Nebula
425,A05_198T01_9000002578, 23:4:43.478, -8:41:8.628,Mrk  926,Seyfert_1,Seyfert 1 Galaxy
426,A05_198T01_9000002586, 23:4:43.478, -8:41:8.628,Mrk  926,Seyfert_1,Seyfert 1 Galaxy
427,A05_198T01_9000003014, 23:4:43.478, -8:41:8.628,Mrk  926,Seyfert_1,Seyfert 1 Galaxy
428,A05_198T01_9000003024, 23:4:43.478, -8:41:8.628,Mrk  926,Seyfert_1,Seyfert 1 Galaxy
429,A05_199T01_9000002732, 12:3:9.614, 44:31:52.788,NGC  4051,Seyfert_1,Seyfert 1 Galaxy
430,A05_202T01_9000002484, 03:52:57.510, -68:31:16.80,2MASX J03525755-6831167,BLLac,BL Lac - type object
431,A05_208T01_9000002614, 13:4:14.38, -10:20:22.56,[TSK2008] 90,GroupG,Group of Galaxies
432,A05_208T03_9000002874, 12:50:53.16, +41:7:12.72,[BWC2008] C14,X,X-ray source
433,A05_208T03_9000003026, 12:50:53.16, +41:7:12.72,[BWC2008] C14,X,X-ray source
434,A05_212T01_9000002454, 00:09:52.78, -18:16:12.5,HE 0007-1832,Pec*,Peculiar Star
435,A05_212T06_9000002776, 13:05:52.82, -38:31:00.0,HD 113679,PM*,High proper-motion Star
436,A05_212T07_9000002746, 13:53:49.70, -17:36:38.0,UCAC4 362-065278,Star,Star
437,A05_212T08_9000002396, 22:11:31.37, +18:05:34.2,BD+17  4708,SB*,Spectroscopic binary
438,A05_212T08_9000002934, 22:11:31.37, +18:05:34.2,BD+17  4708,SB*,Spectroscopic binary
439,A05_212T09_9000002398, 22:42:26.83, -50:04:00.9,HE 2239-5019,Pec*,Peculiar Star
440,A05_212T09_9000002886, 22:42:26.83, -50:04:00.9,HE 2239-5019,Pec*,Peculiar Star
441,A05_225T01_9000002470, 23:25:21.749, 28:29:42.756,UGC 12591,Galaxy,Galaxy
442,A05_225T02_9000002510, 5:40:30.50, 69:22:42.4,,No identification within 1 arcsec,
443,A05_225T02_9000002526, 5:40:30.50, 69:22:42.4,,No identification within 1 arcsec,
444,A05_225T02_9000002570, 5:40:30.50, 69:22:42.4,,No identification within 1 arcsec,
445,A05_225T02_9000003100, 5:40:30.50, 69:22:42.4,,No identification within 1 arcsec,
446,A05_225T04_9000002400, 2:39:50.599, 18:1:27.408,NGC  1030,GinGroup,Galaxy in Group of Galaxies
